date,symbol,open,high,low,close
2020-12-21,ARKK,126.97000122070312,133.00999450683594,126.25,131.33999633789062
2020-12-22,ARKK,134.39999389648438,135.72900390625,132.6699981689453,135.0500030517578
2020-12-23,ARKK,137.01800537109375,137.0800018310547,132.80999755859375,134.9600067138672
2020-12-24,ARKK,135.63999938964844,136.0800018310547,132.4199981689453,133.02999877929688
2020-12-28,ARKK,135.5500030517578,135.85000610351562,129.72000122070312,129.8000030517578
2020-12-29,ARKK,128.52999877929688,128.69000244140625,120.80999755859375,124.31999969482422
2020-12-30,ARKK,125.78199768066406,127.55000305175781,125.55999755859375,127.0999984741211
2020-12-31,ARKK,127.72000122070312,127.73999786376953,123.96499633789062,124.48999786376953
2021-01-04,ARKK,126.22000122070312,127.19000244140625,122.44000244140625,124.69000244140625
2021-01-05,ARKK,124.37999725341797,127.83999633789062,124.08000183105469,127.76000213623047
2021-01-06,ARKK,126.69000244140625,131.14999389648438,125.8499984741211,128.22999572753906
2021-01-07,ARKK,131.16000366210938,138.6199951171875,131.1300048828125,138.3800048828125
2021-01-08,ARKK,142.02999877929688,145.63999938964844,139.2899932861328,142.47999572753906
2021-01-11,ARKK,140.25,140.6300048828125,136.8000030517578,138.22000122070312
2021-01-12,ARKK,140.17999267578125,141.66000366210938,139.0399932861328,140.99000549316406
2021-01-13,ARKK,141.92999267578125,143.5,140.5,141.72000122070312
2021-01-14,ARKK,143.36199951171875,147.4499969482422,142.77999877929688,145.27999877929688
2021-01-15,ARKK,146.8699951171875,148.00999450683594,141.67999267578125,141.91000366210938
2021-01-19,ARKK,145.36000061035156,146.22000122070312,144.11000061035156,146.1300048828125
2021-01-20,ARKK,148.9530029296875,149.8000030517578,146.7100067138672,147.11000061035156
2021-01-21,ARKK,148.4199981689453,148.4199981689453,144.5399932861328,144.80999755859375
2021-01-22,ARKK,144.10000610351562,146.1699981689453,143.88999938964844,146.0800018310547
2021-01-25,ARKK,148.56199645996094,149.85000610351562,142.92999267578125,146.6699981689453
2021-01-26,ARKK,147.25,147.33999633789062,141.72000122070312,141.8300018310547
2021-01-27,ARKK,139.06399536132812,142.5,135.1699981689453,138.35000610351562
2021-01-28,ARKK,138.57000732421875,141.83999633789062,138.13999938964844,140.3699951171875
2021-01-29,ARKK,139.86000061035156,141.17999267578125,135.0500030517578,137.44000244140625
2021-02-01,ARKK,139.97999572753906,142.8000030517578,138.41000366210938,142.6199951171875
2021-02-02,ARKK,145.3000030517578,147.9499969482422,144.92999267578125,146.88999938964844
2021-02-03,ARKK,148.6300048828125,148.6999969482422,145.4199981689453,146.11000061035156
2021-02-04,ARKK,147.92999267578125,148.5,146.91600036621094,148.35000610351562
2021-02-05,ARKK,148.8000030517578,149.75,147.4199981689453,149.4600067138672
2021-02-08,ARKK,152.0500030517578,153.88999938964844,151.4499969482422,153.30999755859375
2021-02-09,ARKK,153.91000366210938,156.64999389648438,152.8300018310547,154.92999267578125
2021-02-10,ARKK,157.1999969482422,157.91000366210938,150.4600067138672,153.10000610351562
2021-02-11,ARKK,155.0,156.3800048828125,152.3800048828125,154.57000732421875
2021-02-12,ARKK,153.8800048828125,156.60000610351562,152.00999450683594,156.5800018310547
2021-02-16,ARKK,159.0500030517578,159.6999969482422,154.72999572753906,155.1199951171875
2021-02-17,ARKK,153.49000549316406,153.50999450683594,147.4600067138672,152.1699981689453
2021-02-18,ARKK,149.0489959716797,150.22000122070312,146.08999633789062,149.19000244140625
2021-02-19,ARKK,151.5,154.0,151.0,152.61000061035156
2021-02-22,ARKK,149.72000122070312,150.92999267578125,143.25,143.77999877929688
2021-02-23,ARKK,136.17999267578125,139.99000549316406,126.81500244140625,139.0399932861328
2021-02-24,ARKK,138.44000244140625,140.22000122070312,134.5,138.32000732421875
2021-02-25,ARKK,136.17999267578125,138.69000244140625,128.41099548339844,129.50999450683594
2021-02-26,ARKK,130.6999969482422,132.97000122070312,126.06999969482422,130.36000061035156
2021-03-01,ARKK,134.5399932861328,137.0,133.50999450683594,136.6999969482422
2021-03-02,ARKK,138.25,138.3699951171875,133.16000366210938,133.50999450683594
2021-03-03,ARKK,132.91000366210938,133.44000244140625,124.44000244140625,125.11000061035156
2021-03-04,ARKK,124.19999694824219,125.93000030517578,114.62999725341797,118.43000030517578
2021-03-05,ARKK,119.22000122070312,119.44000244140625,106.25,117.06999969482422
2021-03-08,ARKK,117.0,118.87999725341797,109.23999786376953,110.26000213623047
2021-03-09,ARKK,117.0,122.86000061035156,116.30000305175781,121.75
2021-03-10,ARKK,126.16999816894531,126.75,120.5,121.19000244140625
2021-03-11,ARKK,125.95999908447266,129.1199951171875,124.5199966430664,128.67999267578125
2021-03-12,ARKK,125.0,126.69000244140625,122.56999969482422,126.68000030517578
2021-03-15,ARKK,127.05000305175781,128.9199981689453,125.5199966430664,128.8800048828125
2021-03-16,ARKK,130.50999450683594,130.8000030517578,123.9800033569336,126.0199966430664
2021-03-17,ARKK,122.75,129.0,120.94000244140625,127.45999908447266
2021-03-18,ARKK,124.36000061035156,125.1500015258789,119.51000213623047,120.06999969482422
2021-03-19,ARKK,119.98999786376953,122.7300033569336,118.19999694824219,122.36000061035156
2021-03-22,ARKK,124.0,126.37999725341797,122.52999877929688,124.72000122070312
2021-03-23,ARKK,124.79100036621094,124.79100036621094,121.1500015258789,121.69999694824219
2021-03-24,ARKK,122.5,122.68000030517578,114.55000305175781,114.77999877929688
2021-03-25,ARKK,111.36000061035156,114.87999725341797,110.38999938964844,114.41999816894531
2021-03-26,ARKK,114.43000030517578,115.94000244140625,109.55000305175781,113.97000122070312
2021-03-29,ARKK,113.5999984741211,113.6500015258789,109.7300033569336,111.16999816894531
2021-03-30,ARKK,110.0,114.80000305175781,108.80999755859375,114.41999816894531
2021-03-31,ARKK,115.94000244140625,120.51000213623047,115.86000061035156,119.94999694824219
2021-04-01,ARKK,122.95999908447266,124.625,120.56999969482422,120.8499984741211
2021-04-05,ARKK,124.36000061035156,124.36000061035156,120.66999816894531,121.63999938964844
2021-04-06,ARKK,121.66999816894531,125.0250015258789,121.4800033569336,123.83000183105469
2021-04-07,ARKK,123.30999755859375,123.8499984741211,120.61000061035156,120.81999969482422
2021-04-08,ARKK,122.80000305175781,124.41000366210938,122.62999725341797,124.13999938964844
2021-04-09,ARKK,123.01000213623047,123.41999816894531,121.94000244140625,123.26000213623047
2021-04-12,ARKK,122.69000244140625,122.9000015258789,120.2300033569336,122.47000122070312
2021-04-13,ARKK,123.27999877929688,127.70999908447266,123.27999877929688,127.55999755859375
2021-04-14,ARKK,128.3000030517578,130.27999877929688,124.51000213623047,124.87000274658203
2021-04-15,ARKK,126.83999633789062,127.41999816894531,125.31999969482422,126.62000274658203
2021-04-16,ARKK,126.51000213623047,126.62000274658203,123.40499877929688,124.37999725341797
2021-04-19,ARKK,122.56999969482422,123.69999694824219,118.94000244140625,120.44000244140625
2021-04-20,ARKK,120.12999725341797,121.88500213623047,117.2300033569336,119.0
2021-04-21,ARKK,117.77999877929688,121.81999969482422,116.54000091552734,121.81999969482422
2021-04-22,ARKK,122.54000091552734,124.41999816894531,120.37000274658203,121.41000366210938
2021-04-23,ARKK,121.92400360107422,123.92500305175781,121.52999877929688,123.69999694824219
2021-04-26,ARKK,124.62999725341797,127.81999969482422,123.5199966430664,127.7300033569336
2021-04-27,ARKK,127.62000274658203,128.13999938964844,125.19999694824219,126.23999786376953
2021-04-28,ARKK,125.30000305175781,126.45999908447266,123.87999725341797,125.37999725341797
2021-04-29,ARKK,126.1500015258789,126.30000305175781,120.58000183105469,121.76000213623047
2021-04-30,ARKK,120.08999633789062,122.61000061035156,119.8499984741211,120.7699966430664
2021-05-03,ARKK,121.20999908447266,121.41000366210938,116.70999908447266,116.91000366210938
2021-05-04,ARKK,115.4800033569336,115.5,111.16000366210938,113.29000091552734
2021-05-05,ARKK,114.66000366210938,114.83899688720703,110.70999908447266,111.55000305175781
2021-05-06,ARKK,110.62000274658203,110.62000274658203,105.68000030517578,108.33999633789062
2021-05-07,ARKK,111.0199966430664,113.12999725341797,109.12999725341797,109.72000122070312
2021-05-10,ARKK,108.37999725341797,108.38999938964844,103.9000015258789,103.9800033569336
